Serial_number:	-1231536963								
Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor		Desired 
1484787019260.0	227	1	2	196	0	294614.75	1374145.38		
1484787019267.0	228	1	2	196	0	299874.83	1374145.38		
1484787019278.0	229	1	2	196	0	294614.75	2239530		
1484787019294.0	230	1	2	196	0	294614.75	1625893.64		
1484787019298.0	231	1	2	196	0	284611.97	1789530		
1484787019302.0	232	1	2	196	0	289530	1789530		
1484787019308.0	233	1	2	196	0	284611.97	1789530		
1484787019316.0	234	2	2	196	0	289530	1625893.64		
1484787019330.0	235	2	1	196	0	294614.75	1625893.64		
1484787019336.0	236	2	1	196	0	284611.97	1989530		
1484787019346.0	237	2	1	196	0	275244.29	1989530		
1484787019351.0	238	2	1	196	0	284611.97	1625893.64		
1484787019357.0	239	2	1	196	0	284611.97	1789530		
1484787019365.0	240	2	1	196	0	284611.97	1789530		
1484787019372.0	241	2	1	196	0	284611.97	1989530		
1484787019386.0	242	2	1	196	0	284611.97	1189530		
1484787019392.0	243	2	1	196	0	289530	1275244.29		
1484787019402.0	244	2	1	196	-0.484	284611.97	1275244.29		
1484787019408.0	245	2	1	196	0	284611.97	1625893.64		
1484787019415.0	246	2	1	196	-0.484	279852.58	1275244.29		
1484787019421.0	247	2	1	196	-0.484	279852.58	1374145.38		
1484787019429.0	248	2	1	196	-0.484	270780	1275244.29		
1484787019434.0	249	2	1	196	0	270780	1275244.29		
1484787019441.0	250	2	1	196	0	270780	1275244.29		
1484787019452.0	251	2	1	196	5.805	270780	1275244.29		
1484787019464.0	252	2	1	196	-0.484	266453.08	1275244.29		
1484787019472.0	253	2	1	196	-0.484	266453.08	1374145.38		
1484787019478.0	254	2	1	196	-0.484	266453.08	1489530		
1484787019487.0	255	2	1	196	-0.484	262257.27	1489530		
1484787019491.0	256	2	1	196	-0.484	266453.08	1789530		
1484787019497.0	257	2	1	196	-0.484	266453.08	2239530		
1484787019504.0	258	2	1	196	-0.484	266453.08	2560958.57		
1484787019519.0	259	2	1	196	-0.484	262257.27	2239530		
1484787019527.0	260	2	1	196	-0.484	262257.27	2239530		
1484787019534.0	261	2	1	196	-0.484	266453.08	1989530		
1484787019540.0	262	2	1	196	0	266453.08	2239530		
1484787019549.0	263	2	1	196	-0.484	258186.72	1625893.64		
1484787019563.0	264	2	1	196	-0.484	262257.27	1625893.64		
1484787019569.0	265	2	1	196	0	266453.08	1489530		
1484787019578.0	266	2	1	196	-0.484	262257.27	1789530		
1484787019583.0	267	2	1	196	-0.484	270780	1625893.64		
1484787019589.0	268	2	1	196	-0.484	262257.27	1989530		
1484787019603.0	269	2	1	196	-0.484	270780	5989530		
1484787019612.0	270	2	1	196	-0.484	289530	inf		
1484787019618.0	271	2	1	196	0	214530	2989530		
1484787019627.0	272	2	1	196	-0.484	134691.29	85786.68		
1484787019632.0	273	2	1	196	0	43422.22	23492.26		
1484787019639.0	274	2	1	196	22.737	30625.89	17179.77		
1484787019646.0	275	2	1	196	75.468	15579.2	8760.77		
1484787019658.0	276	2	1	196	124.329	11454.48	8477.37		
1484787019665.0	277	2	1	196	151.42	9754.72	36774.09		
1484787019670.0	278	2	1	196	174.157	8319.14	14187.53		
1484787019680.0	279	2	1	196	213.342	7897.35	21444.89		
1484787019685.0	280	2	1	196	232.693	7142.52	41105.93		
1484787019691.0	281	2	1	196	253.011	6640.27	75244.29		
1484787019699.0	282	2	1	196	277.2	6104.59	69176.02		
1484787019708.0	283	2	1	196	306.71	5731.62	30439.09		
1484787019712.0	284	2	1	196	320.255	5544.23	936898.42		
1484787019721.0	285	2	1	196	343.476	5100.93	17989530		
1484787019725.0	286	2	1	196	352.668	4888.36	8989530		
1484787019732.0	287	2	1	196	370.084	4656.05	inf		
1484787019740.0	288	2	1	196	388.467	4480.17	8989530		
1484787019750.0	289	2	1	196	408.301	4247.91	inf		
1484787019753.0	290	2	1	196	415.558	4152.26	17989530		
1484787019762.0	291	2	1	196	432.974	3953.08	17989530		
1484787019766.0	292	2	1	196	439.263	3861.21	inf		
1484787019773.0	293	2	1	196	449.906	3748.01	17989530		
1484787019781.0	294	2	1	196	460.549	3669.83	17989530		
1484787019790.0	295	2	1	196	473.127	3548.69	17989530		
1484787019794.0	296	2	1	196	477.964	3494.31	8989530		
1484787019803.0	297	2	1	196	487.156	3408.18	inf		
1484787019807.0	298	2	1	196	490.542	3354.88	17989530		
1484787019818.0	299	2	1	196	499.25	3302	inf		
1484787019822.0	300	2	1	196	502.153	3270.46	17989530		
1484787019831.0	301	2	1	196	507.474	3228.63	inf		
1484787019835.0	302	2	2	196	508.926	3197.43	8989530		
1484787019844.0	303	2	2	196	512.312	3156.04	5989530		
1484787019848.0	304	2	2	196	513.279	3135.44	8989530		
1484787019859.0	305	2	2	196	514.731	3094.43	8989530		
1484787019862.0	306	2	2	196	514.247	3084.22	1489530		
1484787019872.0	307	2	2	196	498.283	3084.22	681837.69		
1484787019876.0	308	2	2	196	473.61	3135.44	772138.7		
1484787019888.0	309	2	2	196	384.113	3625.54	21962.43		
1484787019904.0	310	2	2	196	266.073	4357.02	4489530		
1484787019908.0	311	2	2	196	239.466	5195.8	17989530		
1484787019919.0	312	2	2	196	162.547	5834.35	101331.24		
1484787019931.0	313	2	2	196	96.27	7767.08	6559.33		
1484787019941.0	314	2	2	196	47.409	11190.65	24549.46		
1484787019949.0	315	2	2	196	15.964	17655	48353.53		
1484787019960.0	316	2	2	196	-0.484	39116.78	116290.56		
1484787019974.0	317	2	2	196	-0.484	75244.29	246672.86		
1484787019978.0	318	2	2	196	-0.484	88977.51	254235.88		
1484787019986.0	319	2	2	196	-0.484	125893.64	418101.43		
1484787020000.0	320	2	2	196	0	139530	439530		
1484787020009.0	321	2	2	196	-0.484	160958.57	534984.55		
1484787020015.0	322	2	2	196	0	181019.36	656196.67		
1484787020029.0	323	2	2	196	-0.484	198832.33	772138.7		
1484787020037.0	324	2	2	196	-0.484	209042.2	807711.82		
1484787020044.0	325	2	2	196	-0.484	220299.23	889530		
1484787020059.0	326	2	2	196	0	226372.11	889530		
1484787020066.0	327	2	2	196	-0.484	232773.24	936898.42		
1484787020072.0	328	2	2	196	0	236105.34	1048353.53		
1484787020089.0	329	2	2	196	-0.484	243051.13	989530		
1484787020093.0	330	2	2	196	-0.484	243051.13	1189530		
1484787020101.0	331	2	2	196	0	246672.86	1114530		
1484787020113.0	332	2	2	196	-0.484	246672.86	1189530		
1484787020124.0	333	2	2	196	-0.484	246672.86	1189530		
